Index,Highest Charting Position,Number of Times Charted,Week of Highest Charting,Song Name,Streams,Artist,Artist Followers,Genre,Release Date,Popularity,Duration (ms),Chord
1104,21,15,2020-03-06--2020-03-13,P2,"4,769,996",Lil Uzi Vert,11821805,"['melodic rap', 'philly rap', 'rap', 'trap']",2020-03-06,73,234627,B
1105,79,11,2020-04-24--2020-05-01,Selfish,"4,754,830",Madison Beer,3370013,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",2020-02-14,70,223270,A
1106,154,6,2020-06-05--2020-06-12,Surrender,"4,627,942",Natalie Taylor,120208,[],2019-10-29,76,183103,F
1107,86,6,2020-05-08--2020-05-15,Turks (with Gunna & ft. Travis Scott),"4,623,279",NAV,2613211,"['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",2020-05-08,67,161320,G
1108,48,6,2020-05-08--2020-05-15,BYE ME FUI,"4,567,732",Bad Bunny,36177712,"['latin', 'reggaeton', 'trap latino']",2020-05-10,72,178000,F
1109,15,25,2020-02-28--2020-03-06,Vete,"4,486,408",Bad Bunny,36177712,"['latin', 'reggaeton', 'trap latino']",2019-11-21,78,192024,C#/Db
1110,43,12,2020-03-27--2020-04-03,Like It Is,"4,463,865","Kygo, Zara Larsson, Tyga",7593792,"['edm', 'pop', 'pop dance', 'tropical house']",2020-03-27,68,183067,C#/Db
1111,15,24,2020-01-03--2020-01-10,My Oh My (feat. DaBaby),"4,413,457",Camila Cabello,22698747,"['dance pop', 'electropop', 'pop', 'post-teen pop']",2019-12-06,78,170746,G#/Ab
1112,161,19,2020-01-03--2020-01-10,Let Me Down Slowly,"4,393,932",Alec Benjamin,2808285,"['alt z', 'electropop', 'pop']",2018-11-16,82,169354,C#/Db
1113,22,12,2020-03-27--2020-04-03,BELIEVE IT,"4,361,970","PARTYNEXTDOOR, Rihanna",3129968,"['pop', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap', 'urban contemporary']",2020-03-27,74,183219,F#/Gb
1114,86,1,2020-06-05--2020-06-12,Boot,"6,375,562",Apache 207,1674348,['german hip hop'],2020-07-31,54,193360,G#/Ab
